"fire_scar","site","old.site","date","year","latitude_at_0m","longitude_at_0m","latitude_at_30m","longitude_at_30m","elevation","slope","aspect","transect_orientation","dNBR","severity","ground_severity","moisture_class","pre_fire_vegetation","site_notes","site_photo_start","site_photo_end"
"McCoy Creek","McCr3",NA,"7/29/2024",2024,64.50671,-146.4529,NA,NA,244,0,0,0,0.550431251525879,3,3,"subhygric","Dense black spruce and tussocks ","75% of trees upright, rest fallen. Trees show signs of high severity fire. Veg present includes Marchantia, Rubus cham., ledum gro., equisetum, chamerion Ang. Some birch seedlings observed in plot. Tussocks severely burned. Mature mixed forced 50-100 m away, could act as birch seed source. Patchy burning with deep organic soils in some areas and shallow in others.","e43a353e-1f97-4a3c-9cf4-981e103cb05e","b4a45851-5948-4281-8409-d612a9393333"
"McCoy Creek","McCr4",NA,"7/28/2024",2024,64.48589,-146.35037,NA,NA,259,0,0,0,0.591534614562988,3,3,"mesic","Dense relatively sizeable black spruce. ","Small ridge in middle of transect, between tussocky black spruce near river and mixed stand on the other side. Highest severity fire we’ve seen so far. Organic soil completely burned, almost ALL trees down with crowns mostly intact and heavily burned roots. Ground cover thin layer of char over mineral, lots of ceratodon and Merchantia. Noted trees black spruce because of cone bearing. ","46d4fdc9-402e-4e49-abc5-212e61ce9029","a73d6ba8-44dd-4234-8e39-2d04ac690644"
"McCoy Creek","McCr5",NA,"7/28/2024",2024,64.48677,-146.35432,NA,NA,271,0,0,0,0.479730933904648,2,1,"subhygric","Mid density black spruce with tussocks","Low severity burn, sphagnum humps remain intact, trees all standing with crowns intact. Soils very deep, ice close to surface, not much standing water. A few live trees in area. Moderate amount of spruce seedlings. ","d4ba3d24-e55b-4289-a8a1-a8438e71b59e","b80d7a9f-7b53-4fe4-a222-18138764bb72"
"McCoy Creek","McCr6",NA,"7/29/2024",2024,64.48573,-146.35854,NA,NA,267,0,0,0,0.378506630659103,1,2,"subhygric","Mid dense moderate size black spruce, willows, some, tussocks. Larch in the area!","Weird site,sorry in advance. Some live trees near transect, some standing water, some fallen trees. Overall a weird hodgepodge of features. Not many low severity dnbrs in this area that are actually burned and actually black spruce forests, which is why we stuck with this weird site. Ground is burned even where trees are living. Raining, so couldn’t use whiteboard for photos","6760900a-3887-4dcf-87c3-534302d57389,66958850-773d-4557-8557-94ff97a3171a","c82beac9-ade1-4e75-b46c-9b9f87fd784b,a3319170-d5b4-4428-9ab7-a118d9bf2584"
"McDonald","McDo1",NA,"8/8/2024",2024,64.31391,-147.0081,NA,NA,247,0,0,0,0.681580722332001,NA,3,"mesic-subxeric","Sparse black spruce, willow
","High severity burn, patches to bare mineral,moss completely burned. Trees relatively large, half standing half fallen. Moderate burning on trees. Little regrowth, some willow bena, grass, petasites, rose. Lots of ash. Soil quite dry. Only microbial sampling completed ","a3e51a33-4e2f-416e-a56b-ccfa89ff729d","05f915aa-31dc-494f-b95b-e2bcb911c304"
"McDonald","McDo1",NA,"7/25/2025",2025,64.31387,-147.00812,64.31412,-147.00803,244,0,0,8,0.681580722332001,3,2,"mesic","Black Spruce moderate","Permafrost present but deep, patchy burning, burnt moss present with some mineral soil present around trees. No tree regen. Some shrub regen.","f87ce213-bd87-4180-9c29-c72255d81c53","457d9b84-3a7e-4a77-ab01-ae933d6f9aab"
"McDonald","McDo2",NA,"8/8/2024",2024,64.31506,-147.00833,NA,NA,250,0,0,0,0.739443242549896,NA,2,"mesic-subxeric","Moderate midsized black spruce, moss hummocks","Moderate spruce, mid size. Some burned moss hummocks that have regen. Hit water while coring. Deep organic layer. Trees moderately combusted. Low regen, mostly grass, some willows, tussocks, petasites. More diversity in hummocks with ledum and vaculi","d22d80f9-ce55-4be1-8509-64a5d698cd24","fe0518cb-57c0-4a04-9681-6209a170bacd"
"McDonald","McDo2",NA,"7/25/2025",2025,64.31506,-147.00832,64.31535,-147.00821,244,0,0,9,0.739443242549896,2,3,"subhygric","Black spruce ","Low severity burning. Wet. Some spruce regen but sparse. Permafrost around 70. Twenty cm of organic soil. Relatively low tree combustion. ","181c3712-caae-4d1e-959b-8de31dd5ae3c","4fc1cfab-8aff-42c9-a307-f36e68a287b8"
"McDonald","McDo3",NA,"8/8/2024",2024,64.31544,-147.00316,NA,NA,245,0,0,0,0.661708056926727,NA,1,"mesic-subxeric","Low black spruce density","Low density mid to large black spruce. Very similar understory. Quite mosaic burning, with patches burned to mineral, lightly burned moss hummocks, and even standing water. Trees less burned, but along transect variability. Grassy swale at one end, severely burned blowdown at the other. Grass, petasites, willow regen. A liiiittle bit of tussocks. Mid to large organic layer. ","c8e72a60-f4b2-4eef-9a93-c85ae0db46be","aad44cf4-a654-4e23-bebf-f6e66aca37c1"
"McDonald","McDo3",NA,"7/25/2025",2025,64.31545,-147.00314,64.31582,-147.00343,244,0,0,3,0.661708056926727,3,1,"subhygric","Black spruce high productivity ","Site is drier at 0m mark and gets progressively wetter the further N to go down the transect. Standing water in plot C. Lots of spruce regen on north end of site. Some many super little seedlings. Lots f grass and some salix and betgla regen. Burned moss hummocks however deep burning is present in spots. Permafrost is present around 70 to 100 cm. ","7ceec952-5763-46ab-9289-e936b7557094,677f44dc-6fb2-49c0-9251-bd424a3bacda","1a5c0972-5e66-4cb8-a78a-f123dac9d516"
